max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,mean_cv_score
100,4,4,6,300,0.5714285714285714,0.7037037037037037
100,4,4,6,500,0.5714285714285714,0.7037037037037037
100,4,4,6,1000,0.5714285714285714,0.6666666666666665
100,4,4,6,2000,0.5714285714285714,0.7037037037037037
100,4,4,8,100,0.5714285714285714,0.8148148148148148
100,4,4,8,200,0.5714285714285714,0.7037037037037037
100,4,4,8,300,0.5714285714285714,0.7037037037037037
100,4,4,8,500,0.5714285714285714,0.7037037037037037
100,4,4,8,1000,0.5714285714285714,0.6666666666666665
100,4,4,8,2000,0.5714285714285714,0.7037037037037037
100,4,4,10,100,0.5714285714285714,0.7777777777777778
100,4,4,10,200,0.5714285714285714,0.7037037037037037
100,4,4,10,300,0.5714285714285714,0.7037037037037037
100,4,4,10,500,0.5714285714285714,0.7037037037037037
100,4,4,10,1000,0.5714285714285714,0.6666666666666665
100,4,4,10,2000,0.5714285714285714,0.6666666666666666
100,4,4,12,100,0.5714285714285714,0.6759259259259259
100,4,4,12,200,0.5714285714285714,0.6666666666666666
100,4,4,12,300,0.5714285714285714,0.6666666666666666
100,4,4,12,500,0.5714285714285714,0.6666666666666666
100,4,4,12,1000,0.5714285714285714,0.6666666666666666
100,4,4,12,2000,0.5714285714285714,0.6388888888888888
100,3,2,6,100,0.5714285714285714,0.75
100,3,2,6,200,0.5714285714285714,0.6759259259259259
100,3,2,6,300,0.5714285714285714,0.6759259259259259
100,3,2,6,500,0.5714285714285714,0.6759259259259259
100,3,2,6,1000,0.7142857142857143,0.6759259259259259
100,3,2,6,2000,0.7142857142857143,0.6481481481481481
100,3,2,8,100,0.5714285714285714,0.7407407407407408
100,3,2,8,200,0.5714285714285714,0.6759259259259259
100,3,2,8,300,0.5714285714285714,0.6759259259259259
100,3,2,8,500,0.5714285714285714,0.7037037037037037
100,3,2,8,1000,0.5714285714285714,0.6759259259259259
100,3,2,8,2000,0.5714285714285714,0.7037037037037037
100,3,2,10,100,0.5714285714285714,0.7407407407407408
100,3,2,10,200,0.5714285714285714,0.7037037037037037
100,3,2,10,300,0.5714285714285714,0.7407407407407407
100,3,2,10,500,0.5714285714285714,0.6666666666666666
100,3,2,10,1000,0.5714285714285714,0.7407407407407408
100,3,2,10,2000,0.5714285714285714,0.7037037037037037
100,3,2,12,100,0.5714285714285714,0.6388888888888888
100,3,2,12,200,0.5714285714285714,0.6481481481481481
100,3,2,12,300,0.5714285714285714,0.7037037037037037
100,3,2,12,500,0.5714285714285714,0.7407407407407407
100,3,2,12,1000,0.5714285714285714,0.7129629629629629
100,3,2,12,2000,0.5714285714285714,0.7129629629629629
100,3,3,6,100,0.5714285714285714,0.75
100,3,3,6,200,0.5714285714285714,0.7129629629629629
100,3,3,6,300,0.5714285714285714,0.7129629629629629
100,3,3,6,500,0.5714285714285714,0.7037037037037037
100,3,3,6,1000,0.5714285714285714,0.6759259259259259
100,3,3,6,2000,0.7142857142857143,0.6759259259259259
100,3,3,8,100,0.5714285714285714,0.7407407407407408
100,3,3,8,200,0.5714285714285714,0.6759259259259259
100,3,3,8,300,0.5714285714285714,0.7037037037037037
100,3,3,8,500,0.5714285714285714,0.7037037037037037
100,3,3,8,1000,0.5714285714285714,0.7037037037037037
100,3,3,8,2000,0.5714285714285714,0.7037037037037037
100,3,3,10,100,0.5714285714285714,0.7407407407407408
100,3,3,10,200,0.5714285714285714,0.7407407407407407
100,3,3,10,300,0.5714285714285714,0.7407407407407407
100,3,3,10,500,0.5714285714285714,0.7407407407407408
100,3,3,10,1000,0.5714285714285714,0.7407407407407408
100,3,3,10,2000,0.5714285714285714,0.712962962962963
100,3,3,12,100,0.5714285714285714,0.6388888888888888
100,3,3,12,200,0.5714285714285714,0.6481481481481481
100,3,3,12,300,0.5714285714285714,0.7037037037037037
100,3,3,12,500,0.5714285714285714,0.7407407407407407
100,3,3,12,1000,0.5714285714285714,0.7129629629629629
100,3,3,12,2000,0.5714285714285714,0.6759259259259259
100,3,4,6,100,0.5714285714285714,0.7407407407407408
100,3,4,6,200,0.5714285714285714,0.7407407407407407
100,3,4,6,300,0.5714285714285714,0.7037037037037037
100,3,4,6,500,0.5714285714285714,0.7037037037037037
100,3,4,6,1000,0.5714285714285714,0.7037037037037037
100,3,4,6,2000,0.5714285714285714,0.6759259259259259
100,3,4,8,100,0.5714285714285714,0.7407407407407408
100,3,4,8,200,0.5714285714285714,0.7407407407407407
100,3,4,8,300,0.5714285714285714,0.7037037037037037
100,3,4,8,500,0.5714285714285714,0.7037037037037037
100,3,4,8,1000,0.5714285714285714,0.7037037037037037
100,3,4,8,2000,0.5714285714285714,0.6759259259259259
100,3,4,10,100,0.5714285714285714,0.7037037037037037
100,3,4,10,200,0.5714285714285714,0.7407407407407407
100,3,4,10,300,0.5714285714285714,0.7407407407407407
100,3,4,10,500,0.5714285714285714,0.7037037037037037
100,3,4,10,1000,0.5714285714285714,0.7407407407407408
100,3,4,10,2000,0.5714285714285714,0.6388888888888888
100,3,4,12,100,0.5714285714285714,0.6388888888888888
100,3,4,12,200,0.5714285714285714,0.6759259259259259
100,3,4,12,300,0.5714285714285714,0.7037037037037037
100,3,4,12,500,0.5714285714285714,0.6759259259259259
100,3,4,12,1000,0.5714285714285714,0.6759259259259259
100,3,4,12,2000,0.5714285714285714,0.6759259259259259
100,5,2,6,100,0.5714285714285714,0.6666666666666666
100,5,2,6,200,0.5714285714285714,0.7037037037037037
100,5,2,6,300,0.5714285714285714,0.6666666666666666
100,5,2,6,500,0.5714285714285714,0.7037037037037037
100,5,2,6,1000,0.5714285714285714,0.7037037037037037
100,5,2,6,2000,0.7142857142857143,0.7037037037037037
100,5,2,8,100,0.5714285714285714,0.5925925925925926
100,5,2,8,200,0.5714285714285714,0.7037037037037037
100,5,2,8,300,0.5714285714285714,0.6666666666666666
100,5,2,8,500,0.5714285714285714,0.6296296296296295
100,5,2,8,1000,0.5714285714285714,0.6666666666666665
100,5,2,8,2000,0.5714285714285714,0.6296296296296295
100,5,2,10,100,0.5714285714285714,0.5925925925925926
100,5,2,10,200,0.5714285714285714,0.6666666666666666
100,5,2,10,300,0.5714285714285714,0.6666666666666666
100,5,2,10,500,0.5714285714285714,0.6666666666666666
100,5,2,10,1000,0.5714285714285714,0.6666666666666666
100,5,2,10,2000,0.5714285714285714,0.6666666666666666
100,5,2,12,100,0.5714285714285714,0.5925925925925926
100,5,2,12,200,0.5714285714285714,0.6666666666666666
100,5,2,12,300,0.5714285714285714,0.6666666666666666
100,5,2,12,500,0.5714285714285714,0.6666666666666666
100,5,2,12,1000,0.5714285714285714,0.6666666666666666
100,5,2,12,2000,0.5714285714285714,0.6666666666666666
100,5,3,6,100,0.5714285714285714,0.6666666666666665
100,5,3,6,200,0.5714285714285714,0.7037037037037037
100,5,3,6,300,0.5714285714285714,0.6666666666666666
100,5,3,6,500,0.5714285714285714,0.7037037037037037
100,5,3,6,1000,0.5714285714285714,0.7037037037037037
100,5,3,6,2000,0.5714285714285714,0.7037037037037037
100,5,3,8,100,0.5714285714285714,0.6296296296296295
100,5,3,8,200,0.5714285714285714,0.7037037037037037
100,5,3,8,300,0.5714285714285714,0.6666666666666666
100,5,3,8,500,0.5714285714285714,0.6666666666666666
100,5,3,8,1000,0.5714285714285714,0.7037037037037037
100,5,3,8,2000,0.5714285714285714,0.7037037037037037
100,5,3,10,100,0.5714285714285714,0.5925925925925926
100,5,3,10,200,0.5714285714285714,0.6666666666666666
100,5,3,10,300,0.5714285714285714,0.6666666666666666
100,5,3,10,500,0.5714285714285714,0.6666666666666666
100,5,3,10,1000,0.5714285714285714,0.6666666666666666
100,5,3,10,2000,0.5714285714285714,0.6666666666666666
100,5,3,12,100,0.5714285714285714,0.5925925925925926
100,5,3,12,200,0.5714285714285714,0.6666666666666666
100,5,3,12,300,0.5714285714285714,0.6666666666666666
100,5,3,12,500,0.5714285714285714,0.6666666666666666
100,5,3,12,1000,0.5714285714285714,0.6666666666666666
100,5,3,12,2000,0.5714285714285714,0.6666666666666666
100,5,4,6,100,0.5714285714285714,0.6296296296296295
100,5,4,6,200,0.5714285714285714,0.7037037037037037
100,5,4,6,300,0.5714285714285714,0.6666666666666666
100,5,4,6,500,0.5714285714285714,0.6666666666666666
100,5,4,6,1000,0.5714285714285714,0.7037037037037037
100,5,4,6,2000,0.5714285714285714,0.7037037037037037
100,5,4,8,100,0.5714285714285714,0.6296296296296295
100,5,4,8,200,0.5714285714285714,0.7037037037037037
100,5,4,8,300,0.5714285714285714,0.6666666666666666
100,5,4,8,500,0.5714285714285714,0.6666666666666666
100,5,4,8,1000,0.5714285714285714,0.7037037037037037
100,5,4,8,2000,0.5714285714285714,0.7037037037037037
100,5,4,10,100,0.5714285714285714,0.5925925925925926
100,5,4,10,200,0.5714285714285714,0.6666666666666666
100,5,4,10,300,0.5714285714285714,0.6666666666666666
100,5,4,10,500,0.5714285714285714,0.6666666666666666
100,5,4,10,1000,0.5714285714285714,0.6666666666666666
100,5,4,10,2000,0.5714285714285714,0.6666666666666666
100,5,4,12,100,0.5714285714285714,0.6296296296296295
100,5,4,12,200,0.5714285714285714,0.6296296296296295
100,5,4,12,300,0.5714285714285714,0.6296296296296295
100,5,4,12,500,0.5714285714285714,0.6666666666666666
100,5,4,12,1000,0.5714285714285714,0.6666666666666666
100,5,4,12,2000,0.5714285714285714,0.6666666666666666
